gene,time,kappa,nu,U_tilde,e_tilde,I_tilde,pval,padj
GSTP1_TRAF2,0.025881290435791016,6.409296806324197,16.788721965637592,210.15688965304585,107.60390207662591,1379.3306918554802,0.010996269308340412,0.011707234996379663
S100A9_CD68,0.026015281677246094,62.91958783655295,16.788721965641585,3926.919077609248,1056.3394663806516,132928.88768030977,3.6030318462110245e-07,5.493511518605698e-07
AFDN_NECTIN2,0.025197982788085938,60.49857693735515,16.788721965633115,9297.124271281376,1015.6937875177193,122896.0574978688,0.0,0.0
LRPAP1_SORT1,0.027257442474365234,11.468565103151317,16.78872196565468,637.5690983741597,192.54255086181723,4416.373559371149,4.7972234324955565e-06,6.52845282548982e-06
PSAP_SORT1,0.02623772621154785,10.078249893277107,16.788721965668582,913.1367084515065,169.20093535875841,3410.498617443587,3.932076886314917e-12,8.951363971610917e-12
PSEN1_NOTCH2,0.026723146438598633,13.802373815962781,16.788721965645735,807.4820966218224,231.7242164621079,6396.6885156421795,1.6067030371713642e-06,2.3140271147599238e-06
ADAM10_NOTCH2,0.026151657104492188,9.936206517103274,16.788721965643898,700.5477349305829,166.8162086088658,3315.0405982757434,1.5030403366367295e-08,2.596160581463442e-08
APP_NOTCH2,0.023154497146606445,15.946534764816102,16.788721965705633,2214.166693589328,267.7219384829566,8538.47439864485,0.0,0.0
JAG2_NOTCH2,0.025645732879638672,12.268290060756923,16.78872196563675,566.5352687970847,205.96891082383277,5053.772682969913,0.00014405190461963535,0.00017614267545074222
PDGFB_PDGFRA,0.02709197998046875,16.67882046915361,16.788721965702848,1064.2385628892387,280.0160795724935,9340.675839331701,2.098389689786373e-07,3.290807957950693e-07
CD14_RIPK1,0.024302005767822266,8.135303281571005,16.788721965641795,619.3916374803343,136.58134490046893,2222.2613267403326,1.5596699487474552e-09,2.8856814782069023e-09
CALR_HLA-F,0.0442194938659668,19.20666250881476,16.788721965631968,1291.7968978160798,322.45531674821837,12386.580885911988,5.4418744177553435e-08,8.843045928852433e-08
B2M_HLA-F,0.026632070541381836,29.005987707714667,16.788721965644168,1562.168463922692,486.9734629637139,28250.29256141746,9.132891654717312e-06,1.2128087304920302e-05
PLAU_ITGAV,0.02752995491027832,25.558527462978233,16.78872196564652,747.2657252421532,429.09501142728254,21934.07326758232,0.03003829619137033,0.031174198148186855
SPP1_ITGAV,0.026828527450561523,14.46387571977954,16.788721965645497,2322.523644745189,242.82998800502935,7024.525535080602,0.0,0.0
NID1_ITGAV,0.02867436408996582,14.989736917394406,16.78872196565643,808.984730714017,251.65852544447054,7544.590178864039,8.761523812905736e-06,1.1697818279933604e-05
PDGFB_ITGAV,0.025367259979248047,30.967064283760074,16.788721965707786,1834.793423661614,519.8974323542478,32199.394417351592,1.210204653934177e-06,1.763543065025025e-06
CALR_ITGAV,0.02862071990966797,13.76301879025759,16.78872196563569,672.1949317855747,231.06349587745433,6360.262471008022,5.636160051813999e-05,7.04876725467371e-05
FGG_ITGAV,0.023851394653320312,20.030784475661886,16.788721965664262,3168.1040588878577,336.2912713160313,13472.355953555518,0.0,0.0
FGA_ITGAV,0.0251615047454834,27.508696795816057,16.78872196572723,1884.067732632828,461.83586214444733,25409.005402331808,3.345619103978237e-08,5.583567018125841e-08
MFGE8_ITGAV,0.024258852005004883,17.315598734389038,16.788721965658304,1008.4104677083453,290.70677282056243,10067.523655060106,1.7769221319907658e-06,2.51775407434329e-06
FGB_ITGAV,0.028015613555908203,14.81723467334394,16.788721965643774,2147.1022035706687,248.76243323046793,7371.942702175792,0.0,0.0
FBN1_ITGAV,0.023797035217285156,16.389316302499484,16.78872196564827,857.5023621378417,275.1556746097304,9019.226767212996,1.605106886515273e-05,2.0811622098124538e-05
AZGP1_ITGAV,0.024516820907592773,15.778430040210731,16.788721965641486,801.526262207462,264.8996749994234,8359.401979305923,2.790745596947808e-05,3.5349444228005567e-05
ADAM9_ITGAV,0.02414703369140625,23.64412094070096,16.788721965662006,1041.569081791547,396.95457259591524,18771.283844844158,0.0003002316371482072,0.0003556700929285716
VEGFA_ITGAV,0.024226903915405273,15.598890141205176,16.788721965638835,894.1532075470839,261.88542955323845,8170.244090366588,2.510197043559259e-06,3.5228333509041874e-06
ADAM15_ITGAV,0.025277376174926758,20.842569490469856,16.788721965669332,1289.9620074513407,349.92010422564067,14586.46817687074,4.40460726225389e-07,6.61360482539034e-07
COL1A2_ITGAV,0.027903079986572266,11.378304860086644,16.788721965648183,1196.7036020242822,191.0271967363781,4347.131362068517,7.882583474838611e-15,2.3889547463621312e-14
COL4A1_ITGAV,0.024540185928344727,22.78745751175747,16.78872196564633,1071.167057799062,382.5722884688752,17435.69953732063,0.00010782101469231087,0.00013315895314500392
FN1_ITGAV,0.02660989761352539,15.874213994898112,16.788721965645173,926.4277847956726,266.50776518349795,8461.202591649806,1.6958364100760903e-06,2.42824112051475e-06
SAA1_SCARB1,0.025974273681640625,21.896110122807027,16.788721965645827,1148.8924708002392,367.6077049809703,16098.357580511367,1.5198404822225342e-05,1.9757926268892944e-05
PDGFB_PDGFRB,0.025790691375732422,42.48498327867669,16.788721965704923,3496.7034709014524,713.2685719833257,60606.40670783439,1.2489520528902176e-10,2.528616041507244e-10
