,row,col
C27x22_C28x22,27.5,22.0
C27x23_C28x23,27.5,23.0
C27x25_C27x26,27.0,25.5
C27x25_C28x25,27.5,25.0
C27x26_C27x27,27.0,26.5
C27x26_C28x26,27.5,26.0
C27x27_C27x28,27.0,27.5
C28x18_C28x19,28.0,18.5
C28x19_C28x20,28.0,19.5
C28x19_C29x19,28.5,19.0
C28x20_C28x21,28.0,20.5
C28x20_C29x20,28.5,20.0
C28x21_C28x22,28.0,21.5
C28x21_C29x21,28.5,21.0
C28x22_C28x23,28.0,22.5
C28x22_C29x22,28.5,22.0
C28x23_C29x23,28.5,23.0
C28x25_C28x26,28.0,25.5
C29x19_C29x20,29.0,19.5
C29x20_C29x21,29.0,20.5
C29x20_C30x20,29.5,20.0
C29x21_C29x22,29.0,21.5
C29x21_C30x21,29.5,21.0
C29x22_C29x23,29.0,22.5
C29x22_C30x22,29.5,22.0
C2x14_C2x15,2.0,14.5
C2x14_C3x14,2.5,14.0
C2x15_C2x16,2.0,15.5
C2x15_C3x15,2.5,15.0
C2x16_C2x17,2.0,16.5
C2x16_C3x16,2.5,16.0
C2x17_C2x18,2.0,17.5
C2x17_C3x17,2.5,17.0
C2x18_C3x18,2.5,18.0
C30x20_C30x21,30.0,20.5
C30x21_C30x22,30.0,21.5
C3x13_C3x14,3.0,13.5
C3x13_C4x13,3.5,13.0
C3x14_C3x15,3.0,14.5
C3x14_C4x14,3.5,14.0
C3x15_C3x16,3.0,15.5
C3x15_C4x15,3.5,15.0
C3x16_C3x17,3.0,16.5
C3x16_C4x16,3.5,16.0
C3x17_C3x18,3.0,17.5
C3x17_C4x17,3.5,17.0
C4x10_C4x11,4.0,10.5
C4x10_C4x9,4.0,9.5
C4x10_C5x10,4.5,10.0
C4x11_C5x11,4.5,11.0
C4x13_C4x14,4.0,13.5
C4x13_C5x13,4.5,13.0
C4x14_C4x15,4.0,14.5
C4x14_C5x14,4.5,14.0
C4x15_C4x16,4.0,15.5
C4x15_C5x15,4.5,15.0
C4x16_C4x17,4.0,16.5
C4x16_C5x16,4.5,16.0
C4x17_C5x17,4.5,17.0
C4x8_C4x9,4.0,8.5
C4x8_C5x8,4.5,8.0
C4x9_C5x9,4.5,9.0
C5x10_C5x11,5.0,10.5
C5x10_C5x9,5.0,9.5
C5x10_C6x10,5.5,10.0
C5x11_C6x11,5.5,11.0
C5x13_C5x14,5.0,13.5
C5x13_C6x13,5.5,13.0
C5x14_C5x15,5.0,14.5
C5x14_C6x14,5.5,14.0
C5x15_C5x16,5.0,15.5
C5x15_C6x15,5.5,15.0
C5x16_C5x17,5.0,16.5
C5x16_C6x16,5.5,16.0
C5x8_C5x9,5.0,8.5
C5x9_C6x9,5.5,9.0
C6x10_C6x11,6.0,10.5
C6x10_C6x9,6.0,9.5
C6x10_C7x10,6.5,10.0
C6x11_C7x11,6.5,11.0
C6x13_C6x14,6.0,13.5
C6x13_C7x13,6.5,13.0
C6x14_C6x15,6.0,14.5
C6x14_C7x14,6.5,14.0
C6x15_C6x16,6.0,15.5
C6x31_C6x32,6.0,31.5
C6x31_C7x31,6.5,31.0
C6x32_C6x33,6.0,32.5
C6x32_C7x32,6.5,32.0
C6x33_C7x33,6.5,33.0
C7x10_C7x11,7.0,10.5
C7x10_C8x10,7.5,10.0
C7x11_C8x11,7.5,11.0
C7x13_C7x14,7.0,13.5
C7x13_C8x13,7.5,13.0
C7x14_C8x14,7.5,14.0
C7x31_C7x32,7.0,31.5
C7x31_C8x31,7.5,31.0
C7x32_C7x33,7.0,32.5
C7x32_C8x32,7.5,32.0
C7x33_C8x33,7.5,33.0
C8x10_C8x11,8.0,10.5
C8x10_C9x10,8.5,10.0
C8x11_C9x11,8.5,11.0
C8x13_C8x14,8.0,13.5
C8x13_C9x13,8.5,13.0
C8x31_C8x32,8.0,31.5
C8x31_C9x31,8.5,31.0
C8x32_C8x33,8.0,32.5
C8x32_C9x32,8.5,32.0
C8x33_C9x33,8.5,33.0
C9x10_C9x11,9.0,10.5
C9x16_C9x17,9.0,16.5
C9x17_C9x18,9.0,17.5
C9x26_C9x27,9.0,26.5
C9x29_C9x30,9.0,29.5
C9x30_C9x31,9.0,30.5
C9x31_C9x32,9.0,31.5
C9x32_C9x33,9.0,32.5
