,C,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh
MDK_LRP1,0.4354509890331326,1.7653273802749982e-165,0.0004248094182808732,1.1262744741631311e-97,0.000999000999000999,0.0007411353399563992,2.6750666437295986e-165,1.4121309396867686e-97,0.000999000999000999
TGFB3_ITGB6,0.43699758605788047,1.378528341790545e-164,0.0004248094182808732,4.451734164503141e-103,0.000999000999000999,0.000684556060060435,2.082547403194279e-164,6.787520608841209e-103,0.000999000999000999
APP_TNFRSF21,0.43746386575669294,2.5588301186371517e-164,0.0004248094182808732,9.809405257715754e-108,0.000999000999000999,0.0006472746943547227,3.8510723173306396e-164,1.9461229708078643e-107,0.000999000999000999
PLAU_ITGB5,0.43746561819602664,2.5647829805704058e-164,0.0004248094182808732,1.2421570961449015e-104,0.000999000999000999,0.0006589958982520294,3.8510723173306396e-164,2.0118872311330537e-104,0.000999000999000999
CALR_ITGAV,0.43837987808665224,8.612193004508606e-164,0.0004248094182808732,1.2610666581992163e-98,0.000999000999000999,0.0007042056622811285,1.2892191952203792e-163,1.626545506920138e-98,0.000999000999000999
LGALS9_CD47,0.43880591492000187,1.5134320206384916e-163,0.0004248094182808732,2.5022508161330738e-102,0.000999000999000999,0.000712373980833155,2.2587172755148483e-163,3.689886278118622e-102,0.000999000999000999
CALM1_PTPRA,0.4389921550913017,1.936152085225346e-163,0.0004248094182808732,6.738742457695237e-111,0.000999000999000999,0.0006193666281995103,2.880900994281087e-163,1.7613432667203425e-110,0.000999000999000999
COL1A1_CD44,0.43943055333213266,3.4563370606724225e-163,0.0004248094182808732,3.383690718327928e-104,0.000999000999000999,0.0007022979210545148,5.12741894285939e-163,5.444766172162854e-104,0.000999000999000999
TIMP2_CD44,0.43970422778851087,4.9616741335364964e-163,0.0004248094182808732,1.576721159182806e-101,0.000999000999000999,0.0006757612270719905,7.338524017865356e-163,2.2511567995268967e-101,0.000999000999000999
FGF23_FGFR3,0.4398387717591367,5.926394953382622e-163,0.0004248094182808732,8.05652039334044e-102,0.000999000999000999,0.0006856883133996028,8.73922121483885e-163,1.167132279856357e-101,0.000999000999000999
SAA1_SCARB1,0.4399275410228482,6.663318284492482e-163,0.0004248094182808732,9.708403906151953e-103,0.000999000999000999,0.0006849159463136756,9.796664382557399e-163,1.4621803444021537e-102,0.000999000999000999
EFNB1_EPHB4,0.4403975233727536,1.2389182430440095e-162,0.0004248094182808732,9.72187968421247e-98,0.000999000999000999,0.0007083242306917033,1.816099739061545e-162,1.2282886352943634e-97,0.000999000999000999
PTGS2_ALOX5,0.44040353193240167,1.248776622708074e-162,0.0004248094182808732,4.922276514405864e-109,0.000999000999000999,0.0006408407189363345,1.8251350639579542e-162,1.0759312381046446e-108,0.000999000999000999
APP_APLP2,0.4406897934295553,1.8215123849503219e-162,0.0004248094182808732,8.953272006373499e-98,0.000999000999000999,0.0007196505817500977,2.654357280724068e-162,1.1340811208073098e-97,0.000999000999000999
HSP90AA1_FGFR3,0.4412172434864187,3.650006605241581e-162,0.0004248094182808732,7.178495468286292e-108,0.000999000999000999,0.000652168821033829,5.303244891145121e-162,1.4356990936572584e-107,0.000999000999000999
LAMB1_ITGAV,0.44130700150537017,4.108035616198373e-162,0.0004248094182808732,1.4226492841504832e-97,0.000999000999000999,0.0006866008670752123,5.951230482117291e-162,1.7747190564907543e-97,0.000999000999000999
SPP1_CD44,0.4413899785794517,4.582355842818247e-162,0.0004248094182808732,9.354169346706385e-105,0.000999000999000999,0.0006795524728938686,6.618958439626357e-162,1.525069193819457e-104,0.000999000999000999
LAMB1_ITGA6,0.4416521458351126,6.471070705659098e-162,0.0004248094182808732,1.655451345469959e-111,0.000999000999000999,0.0006222720519773842,9.319851103777244e-162,4.493367937704175e-111,0.000999000999000999
ARPC5_LDLR,0.44211395105274,1.1880388456929577e-161,0.0004248094182808732,1.5689512937089313e-97,0.000999000999000999,0.0007166199972760337,1.706079040035817e-161,1.9522970757990228e-97,0.000999000999000999
JAG1_CD46,0.44247002342398756,1.8972542595469803e-161,0.0004248094182808732,3.163790542900942e-96,0.000999000999000999,0.0007622930276679308,2.7166481281629225e-161,3.840079921850284e-96,0.000999000999000999
AFDN_NECTIN2,0.4427175430698058,2.626439483115296e-161,0.0004248094182808732,9.329363162154214e-107,0.000999000999000999,0.0006323278516806319,3.749887585719527e-161,1.7006292996694398e-106,0.000999000999000999
APOE_LDLR,0.4429367635725828,3.502746605772833e-161,0.0004248094182808732,2.7959458711733104e-92,0.000999000999000999,0.000742782601899949,4.9866190871809205e-161,3.076163163384444e-92,0.000999000999000999
COL6A3_ITGA1,0.44309583997438107,4.316320571352471e-161,0.0004248094182808732,5.185061705108247e-106,0.000999000999000999,0.0006535294390860582,6.127190696115289e-161,9.05095576792747e-106,0.000999000999000999
LAMC1_ITGA3,0.44324675264222935,5.261866701310241e-161,0.0004248094182808732,1.4768856334206472e-103,0.000999000999000999,0.0006656901250151773,7.4480290843761e-161,2.3088022243981e-103,0.000999000999000999
LTF_TFRC,0.4433686466494554,6.174577417375896e-161,0.0004248094182808732,1.611325814979283e-104,0.000999000999000999,0.00068635424263258,8.714974983381979e-161,2.601290694770477e-104,0.000999000999000999
PLAU_IGF2R,0.44340080894482736,6.440713841171497e-161,0.0004248094182808732,2.1610375316030045e-97,0.000999000999000999,0.0007118168758334795,9.06470836905618e-161,2.682292815607749e-97,0.000999000999000999
HLA-A_APLP2,0.44358020003567433,8.149585337673759e-161,0.0004248094182808732,6.079360296920641e-94,0.000999000999000999,0.0007369936446728176,1.1437202150030788e-160,6.91982485409861e-94,0.000999000999000999
COL1A1_ITGAV,0.44402437387066823,1.4589684863565616e-160,0.0004248094182808732,3.6494361374992504e-101,0.000999000999000999,0.000677154162262655,2.0417292698587575e-160,5.121651852058607e-101,0.000999000999000999
BMP2_GPC1,0.44406009052739676,1.5288822924189784e-160,0.0004248094182808732,2.822002801784864e-105,0.000999000999000999,0.0006566065839395349,2.1335250069349584e-160,4.7417325989174254e-105,0.000999000999000999
LIPH_LPAR4,0.4441590665148608,1.7406018487621797e-160,0.0004248094182808732,1.7001356728535853e-102,0.000999000999000999,0.0006747990818751296,2.4221332768690615e-160,2.537362605406861e-102,0.000999000999000999
SERPINE1_PLAUR,0.44436083812872285,2.2672161634169026e-160,0.0004248094182808732,1.4730879455135935e-103,0.000999000999000999,0.0006745814995903466,3.146080855977387e-160,2.3088022243981e-103,0.000999000999000999
