,g,pattern,membership
149,MMP1_CD44,1,0.9999999999959996
150,FBN1_ITGB1,0,0.9999999999959996
151,CSF1_SIRPA,4,0.9999999999960001
152,FGG_ITGB2,4,0.9999999999960001
153,LAMC3_ITGB1,0,0.9999999999959996
154,COL6A1_ITGA6,2,0.9999999999959999
155,ADAM12_SDC4,2,0.9999999999959999
156,HSPG2_SDC1,3,0.9999999999959999
157,COL5A2_ITGB1,0,0.9999999999959996
158,COL4A1_ITGB1,0,0.9999999999959996
159,AGRN_ITGB1,0,0.9999999999959996
160,AFDN_EPHB6,4,0.9999999999960001
161,SPP1_CD44,1,0.9999999999959996
162,TIMP2_ITGA3,2,0.9999999999959999
163,LAMC1_ITGA3,2,0.9999999999959999
164,COL18A1_ITGA3,2,0.9999999999959999
165,LAMC2_ITGA3,3,0.9999999999959999
166,FN1_ITGA3,2,0.9999999999959999
167,IL16_CD4,0,0.9999999999959996
168,LAMB2_ITGB4,3,0.9999999999959999
169,LAMC1_ITGB4,2,0.9999999999959999
170,AGRN_LRP1,0,0.9999999999959996
171,GPC3_LRP1,0,0.9999999999959996
172,PDGFB_LRP1,0,0.9999999999959996
173,A2M_LRP1,0,0.9999999999959996
174,MDK_LRP1,0,0.9999999999959996
175,LRPAP1_LRP1,0,0.9999999999959996
176,THBS1_LRP1,0,0.9999999999959996
177,C1QB_LRP1,0,0.9999999999959996
178,VWF_LRP1,0,0.9999999999959996
179,C1QA_CD93,0,0.9999999999959996
180,LRPAP1_SORT1,4,0.9999999999960001
181,PSEN1_NOTCH2,4,0.9999999999960001
182,JAG2_NOTCH2,0,0.9999999999959996
183,PDGFB_PDGFRA,0,0.9999999999959996
184,CD14_RIPK1,4,0.9999999999959863
185,SPP1_ITGAV,4,0.9999999999960001
186,NID1_ITGAV,4,0.9999999999960001
187,FGG_ITGAV,4,0.9999999999960001
188,FBN1_ITGAV,0,0.9999999999959996
189,AZGP1_ITGAV,4,0.9999999999960001
190,ADAM9_ITGAV,4,0.9999999999960001
191,PDGFB_PDGFRB,0,0.9999999999959996
192,GPC3_CD81,0,0.9999999999959996
193,COL18A1_GPC1,2,0.9999999999959999
194,MFAP2_NOTCH1,2,0.9999999999959999
195,AGT_ADRA2A,1,0.9999999999959996
196,CXCL2_ADRA2A,4,0.9999999999960001
197,APP_ADRA2A,1,0.9999999999959996
198,CXCL1_ADRA2A,4,0.9999999999960001
199,COL6A3_ITGA1,0,0.9999999999959996
200,CSF1_CSF1R,4,0.9999999999960001
201,COL18A1_ITGA5,2,0.9999999999959999
202,FN1_ITGA5,2,0.9999999999959999
203,DKK1_LRP5,2,0.9999999999959999
204,PSEN1_NCSTN,4,0.9999999999960001
205,FN1_IL17RC,2,0.9999999999959999
206,MMP1_ITGA2,1,0.9999999999959996
207,INS_INSR,1,0.9999999999959996
208,MDK_SDC3,0,0.9999999999959996
209,B2M_TFRC,1,0.9999999999959996
210,VEGFA_NRP2,1,0.9999999999959996
211,PGF_NRP2,0,0.9999999999959996
212,ALOX5AP_ALOX5,4,0.9999999999960001
213,MDK_ITGB1,0,0.9999999999959996
214,VEGFA_ITGB1,1,0.9999999999959996
215,COMP_ITGB1,0,0.9999999999959996
216,LAMB1_ITGB1,0,0.9999999999959996
217,LAMB1_ITGA1,0,0.9999999999959996
218,FGF23_FGFR1,1,0.9999999999959996
219,TGFB3_ITGB1,0,0.9999999999959996
220,JAG1_NOTCH4,0,0.9999999999959996
221,JAG1_NOTCH2,0,0.9999999999959996
222,COL6A3_ITGB1,0,0.9999999999959996
223,PSEN1_NOTCH4,0,0.9999999999959996
224,EFNA5_EPHA2,3,0.9999999999959999
225,FBLN1_ITGB1,0,0.9999999999959996
226,COL16A1_ITGB1,0,0.9999999999959996
227,GAS6_AXL,0,0.9999999999959996
228,FN1_PLAUR,3,0.9999999999959999
229,EFNA1_EPHA2,1,0.9999999999959996
230,SEMA4D_PLXNB1,1,0.9999999999959996
231,COL1A1_ITGA2,2,0.9999999999959999
232,HBEGF_CD9,2,0.9999999999959999
233,LAMC1_ITGA2,3,0.9999999999959999
234,THBS1_ITGB1,0,0.9999999999959996
235,LUM_ITGB1,0,0.9999999999959996
236,COL6A2_ITGA2,3,0.9999999999959999
237,COL1A2_ITGA2,3,0.9999999999959999
238,VEGFA_SIRPA,1,0.9999999999959996
