,ligand,receptor,perm_pval,fdr,selected
1990,MDK,LRP1,0.0,0.0,True
1991,PLAU,LRP1,1.0,1.0,False
1992,LRPAP1,LRP1,0.0,0.0,True
1993,C3,LRP1,0.03700000000000003,0.06953207547169818,False
1995,THBS1,LRP1,0.0,0.0,True
1996,HSP90AA1,LRP1,1.0,1.0,False
1998,CALR,LRP1,1.0,1.0,False
1999,C1QB,LRP1,0.0,0.0,True
2001,VWF,LRP1,0.0,0.0,True
2005,APP,LRP1,0.0,0.0,True
2009,PSAP,LRP1,0.0,0.0,True
2025,COL4A2,CD93,1.0,1.0,False
2028,COL1A2,CD93,1.0,1.0,False
2029,COL4A1,CD93,0.994,1.0,False
2030,C1QA,CD93,0.0,0.0,True
2038,HLA-B,CANX,1.0,1.0,False
2042,GSTP1,TRAF2,0.0,0.0,True
2059,S100A9,CD68,1.0,1.0,False
2065,AFDN,NECTIN2,1.0,1.0,False
2104,LRPAP1,SORT1,0.0,0.0,True
2106,PSAP,SORT1,1.0,1.0,False
2110,PSEN1,NOTCH2,0.0,0.0,True
2111,ADAM10,NOTCH2,0.0,0.0,True
2112,APP,NOTCH2,0.0,0.0,True
2113,JAG2,NOTCH2,0.0,0.0,True
2124,PDGFB,PDGFRA,0.0,0.0,True
2137,CD14,RIPK1,0.0,0.0,True
2138,CALR,HLA-F,1.0,1.0,False
2139,B2M,HLA-F,0.0,0.0,True
2156,PLAU,ITGAV,1.0,1.0,False
2160,SPP1,ITGAV,0.0,0.0,True
2161,NID1,ITGAV,0.0,0.0,True
2162,PDGFB,ITGAV,1.0,1.0,False
2165,CALR,ITGAV,1.0,1.0,False
2167,FGG,ITGAV,0.0,0.0,True
2168,FGA,ITGAV,0.0,0.0,True
2170,MFGE8,ITGAV,1.0,1.0,False
2171,FGB,ITGAV,0.0,0.0,True
2172,FBN1,ITGAV,0.0,0.0,True
2173,AZGP1,ITGAV,0.0,0.0,True
2174,ADAM9,ITGAV,0.0,0.0,True
2175,VEGFA,ITGAV,0.0,0.0,True
2176,ADAM15,ITGAV,0.0,0.0,True
2177,COL1A2,ITGAV,1.0,1.0,False
2179,COL4A1,ITGAV,1.0,1.0,False
2180,FN1,ITGAV,1.0,1.0,False
2205,SAA1,SCARB1,1.0,1.0,False
2207,PDGFB,PDGFRB,0.0,0.0,True
2209,MFGE8,PDGFRB,0.946,1.0,False
2237,CALM1,KCNN4,0.0,0.0,True
2249,PSEN1,NOTCH3,1.0,1.0,False
2250,THBS2,NOTCH3,0.0,0.0,True
2251,SCGB3A1,NOTCH3,1.0,1.0,False
2252,JAG2,NOTCH3,1.0,1.0,False
2256,APP,APLP2,1.0,1.0,False
2257,HLA-A,APLP2,1.0,1.0,False
2267,GPC3,CD81,0.0,0.0,True
2268,CD99,CD81,1.0,1.0,False
2313,AFDN,NECTIN1,1.0,1.0,False
2317,BMP2,GPC1,1.0,1.0,False
2320,APP,GPC1,1.0,1.0,False
2322,COL18A1,GPC1,0.0,0.0,True
2325,VEGFA,GPC1,1.0,1.0,False
2362,NLGN2,NRXN2,1.0,1.0,False
2364,AFDN,NRXN2,0.999,1.0,False
2391,GPC3,IGF1R,0.09399999999999997,0.17532584269662915,False
2392,INS,IGF1R,1.0,1.0,False
2394,GNAI2,IGF1R,0.125,0.23055555555555557,False
2399,S100A4,ERBB2,0.0,0.0,True
2401,SEMA4D,ERBB2,1.0,1.0,False
2403,HLA-A,ERBB2,0.0,0.0,True
