,FSV,M,g,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,BIC,max_ll_null,LLR,pval,qval
263,0.5773783479004321,4,ARF1_INSR,2.019860877041703,0.700779801864885,-89.06477289023114,-11.012151919640097,30.05771926695654,SE,64,0.010438488506111343,0.2031398697096654,0.0011131763458251953,194.76507811390096,-95.51648991805853,6.451717027827385,0.011084516750309414,0.0
149,0.7255069826850532,4,PSEN1_NOTCH4,2.019860877041703,0.36222634230953116,-104.04942111880692,26.164843265991543,184.55532399391757,SE,64,0.0073617641731454,0.19883684969242077,0.001119852066040039,224.7343745710525,-110.47244672709729,6.423025608290374,0.011265007750421274,0.0
256,0.6170773487735189,4,ADAM9_ITGB5,2.019860877041703,0.5941030449149788,-95.93291371649406,13.373994592839914,45.54630552468115,SE,64,0.01213778152354924,0.24856714783331432,0.0013699531555175781,208.5013597664268,-102.34082568228446,6.4079119657904045,0.011361294183164783,0.0
388,0.4385394037135983,4,PLAU_ST14,3.2370446538154347,1.13262863185426,-22.50304212394221,-10.664362241615189,13.748278046572416,SE,64,0.009141482529140753,0.17538378790018389,0.0029916763305664062,61.641616581323106,-28.890466885178952,6.387424761236744,0.01149316494205932,0.0
269,0.6861882084050107,4,LGALS9_MRC2,2.019860877041703,0.4378409057779551,-96.16672097971022,-10.727999697659978,31.09789379376699,SE,64,0.011000753212488756,0.26153150506665096,0.0011146068572998047,208.96897429285912,-102.51843112500399,6.351710145293765,0.011726819947970202,0.0
127,0.6090326347552628,4,CALM3_INSR,2.019860877041703,0.6145967634067493,-88.51403744643596,-9.369905538255349,22.48240202853303,SE,64,0.011325367223774929,0.22911863550958989,0.001127004623413086,193.6636072263106,-94.82892714130553,6.314889694869564,0.011972819355009046,0.0
391,0.41433321147563007,4,COL6A2_ITGA1,3.2370446538154347,1.2504828104299897,-106.98050186017062,9.025629920049388,10.523249249370437,SE,64,0.006704621096240956,0.13162766169247933,0.0011296272277832031,230.59653605377991,-113.25424371799586,6.273741857825243,0.01225400955618361,0.0
138,0.6310847538942168,4,IL16_KCNJ15,2.019860877041703,0.559666408749189,-94.36581637274253,10.297358373785771,27.598912767004517,SE,64,0.009742690540207316,0.2042878118205623,0.0011165142059326172,205.36716507892373,-100.63847299768443,6.272656624941902,0.012261516800851302,0.0
173,0.6501779892609497,4,HSPG2_SDC1,2.019860877041703,0.5151161838456898,-27.417495097930306,13.055323627984327,43.65312521467324,SE,64,0.009803552646087399,0.21338484086832912,0.0011246204376220703,71.4705225292993,-33.67428361481477,6.256788516884463,0.012371827760218057,0.0
72,0.6250582849211956,4,TGFB1_ITGB6,2.019860877041703,0.5742930647215608,-94.31365256538153,10.131423662127414,26.624234409361797,SE,64,0.013785868901638505,0.286035092453563,0.0011191368103027344,205.26283746420174,-100.5686466925008,6.254994127119275,0.012384365889154036,0.0
417,0.2821543685605055,4,HBEGF_ERBB2,5.18771278254663,1.886383061600298,-54.32529254098229,-22.169025498290388,30.87828159517906,SE,64,0.009963092836635802,0.2617278350348953,0.00130462646484375,125.28611741540327,-60.54733043234134,6.222037891359051,0.01261698069194972,0.0
66,0.5632929169537928,4,VCL_ITGB5,2.019860877041703,0.7422432753510622,-94.47222448703937,15.421049894770167,57.78326034739277,SE,64,0.009971808628462635,0.1915946311587412,0.0011050701141357422,205.57998130751741,-100.65917693885362,6.18695245181425,0.012869562781630206,0.0
475,0.22736506244816676,4,CD14_ITGB2,8.313868603102732,1.768082819515526,-107.38902715820146,-14.378762860042373,8.831692630850148,SE,64,0.008398658060532721,0.2794289825117472,0.0011386871337890625,231.4135866498416,-113.56600161155079,6.176974453349331,0.012942339858190821,0.0
97,0.718415180500123,4,JAG1_NOTCH4,2.019860877041703,0.3752529052385286,-105.63186416829825,29.835789723510768,238.63476405484658,SE,64,0.008364792572759626,0.22018359073642071,0.0011725425720214844,227.89926067003518,-111.78734404554345,6.155479877245199,0.013100556771474814,0.0
106,0.6862724205339388,4,THBS1_LRP5,2.019860877041703,0.4376696973357043,-100.87505897409582,-2.289009612992478,2.546284292210378,SE,64,0.06347549005659589,1.509420345896653,0.0009179115295410156,218.38565028163032,-107.0297117280578,6.154652753961983,0.013106684623646947,0.0
418,0.33631005151335247,4,FGF23_FGFR4,5.18771278254663,1.4632246133666005,-97.09153377463605,17.103846135992367,19.736696024135806,SE,64,0.009203334794796464,0.20647122987612984,0.0011539459228515625,210.81859988271077,-103.21970356996034,6.128169795324297,0.0133044528058327,0.0
351,0.4293442209924074,4,SEMA4A_PLXNB2,3.2370446538154347,1.1758325361644384,-28.03123465496459,-31.4446729849263,118.21504474303109,SE,64,0.010077671217287072,0.19486075475762218,0.006578207015991211,72.69800164336786,-34.062377405382776,6.031142750418187,0.014055630748308623,0.0
177,0.6361683505948786,4,LGALS9_SLC1A5,2.019860877041703,0.547543644272779,-75.62637115553262,-37.17427781306796,350.2380370921723,SE,64,0.011325851573260123,0.2397144879173512,0.0011067390441894531,167.88827464450392,-81.59804855391849,5.971677398385864,0.014537445873850419,0.0
169,0.7511844121314352,4,S100A9_ITGB2,2.019860877041703,0.3171183283003731,-105.10896367305223,-11.765887453332224,39.105879217997405,SE,64,0.0287726341752454,0.8630693540286661,0.0009360313415527344,226.85345967954314,-110.97303412100518,5.864070447952955,0.015453017052795448,0.0
244,0.6506047725517836,4,FBN1_ITGB6,2.019860877041703,0.5141502481265408,-96.47434695027948,19.031599943472653,93.51051459829847,SE,64,0.013423726845938809,0.2924464991116502,0.0011277198791503906,209.58422623399764,-102.33408708480196,5.859740134522482,0.015491080976969163,0.0
281,0.716499576923527,4,LGALS9_CD47,2.019860877041703,0.37881581256596436,-104.1750261512404,15.540004249132942,65.66027312080755,SE,64,0.014737931716357762,0.3853369489032615,0.001111745834350586,224.98558463591948,-109.91886486302889,5.743838711788484,0.016546591139734446,0.0
255,0.555761625540194,4,COL4A2_ITGB5,2.019860877041703,0.7652755553739915,-96.25156098078381,22.351394577585324,119.87725240821746,SE,64,0.012158327132435328,0.23226849906805447,0.001329183578491211,209.1386542950063,-101.89444137689233,5.642880396108524,0.01752639041092463,0.0
392,0.364859555176948,4,COL1A2_ITGA1,3.2370446538154347,1.5400007053174976,-104.68804180438799,2.701138984084395,1.540006224608889,SE,64,0.007218403094233946,0.15248560643547368,0.0011281967163085938,226.01161594221466,-110.29112179926584,5.603079994877845,0.017928931297472084,0.0
248,0.601601456004467,4,FN1_ITGA5,2.019860877041703,0.634014499336556,-74.77147706942449,-31.490285713192595,245.3772427989545,SE,64,0.015662200033592144,0.3135756038660156,0.0011630058288574219,166.17848647228766,-80.31079860268432,5.539321533259823,0.01859379004310735,0.0
291,0.6006908606402667,4,SPTBN2_PTPRA,2.019860877041703,0.6364269356551676,-98.88300578722033,32.98353157231045,269.46605903334034,SE,64,0.014373982982834998,0.2874333777062069,0.0011429786682128906,214.40154390787933,-104.41171906388857,5.528713276668242,0.018706857585725878,0.0
208,0.6156826666844316,4,COL4A1_CD93,2.019860877041703,0.5976175891805752,-93.7141156613637,-21.63790624736004,117.63785748072405,SE,64,0.014140328098995682,0.2889449463193495,0.0011200904846191406,204.0637636561661,-99.19947314626012,5.4853574848964115,0.019176398183646692,0.0
460,0.26098571257701686,4,INS_IGF1R,5.18771278254663,2.0995281741060805,-103.88096565888314,4.985970669631311,2.106362236782421,SE,64,0.010837096742995295,0.3085703075412214,0.0011382102966308594,224.39746365120496,-109.36227057985593,5.481304920972789,0.019220905106340225,0.0
105,0.712826050786379,4,THBS1_CD47,2.019860877041703,0.3857019226143736,-101.45417014536541,25.396152698326578,172.552405684955,SE,64,0.014199088354766647,0.3665766415196506,0.0011096000671386719,219.5438726241695,-106.90531203592519,5.451141890559782,0.019555540638484636,0.0
393,0.3643871355746142,4,COL4A1_ITGA1,3.2370446538154347,1.5431442238456983,-103.62608728070245,5.517075597585537,4.136205316437453,SE,64,0.00759793293115664,0.160644670147002,0.0011076927185058594,223.88770689484357,-109.03008838914671,5.4040011084442625,0.020090642766578126,0.0
462,0.3450073279326116,4,FGF19_FGFR4,5.18771278254663,1.407646895321653,-101.24741565742875,3.890647676758205,1.7513313256962704,SE,64,0.010271353898063051,0.2259044342027262,0.001134634017944336,219.13036364829617,-106.64812896101259,5.400713303583842,0.02012852342864102,0.0
450,0.31204629040377113,4,ADAM9_ITGA3,5.18771278254663,1.6346538356784044,-24.615127423193137,-17.448856377413144,19.58104998054465,SE,64,0.01036064837684457,0.24754369079623656,0.0011167526245117188,65.86578717982496,-29.926349537259963,5.311222114066826,0.02118848790046779,0.0
167,0.654597151227117,4,EFNA1_EPHB6,2.019860877041703,0.5051753258234749,-102.0762543483527,-10.881644246865012,31.481619126060096,SE,64,0.013765328031579968,0.30248639603331867,0.0011477470397949219,220.7880410301441,-107.38005790566018,5.303803557307475,0.021278909578801852,0.0
461,0.25205924256106615,4,GNAI2_IGF1R,5.18771278254663,2.200139296949596,-102.93567233703318,8.600830265725612,5.038416320469206,SE,64,0.010282189380775889,0.30403882248654157,0.0011250972747802734,222.50687700750504,-108.2062990607218,5.270626723688622,0.0216882029648251,0.0
154,0.659348215462663,4,HSP90AA1_FGFR3,2.019860877041703,0.49463649865878845,-80.09581526384542,-13.177336392998962,45.20802465651077,SE,64,0.025946528706774212,0.5762581853637998,0.0012295246124267578,176.82716286112952,-85.34555876532667,5.249743501481248,0.021950006384126808,0.0
117,0.7091020744731862,4,CDH1_IGF1R,2.019860877041703,0.39275542661665713,-102.07587443148654,18.54121221809413,92.38083083608375,SE,64,0.0381398822192165,0.972420255133473,0.0009171962738037109,220.78728119641175,-107.32516064853394,5.249286217047398,0.021955775632451213,0.0
90,0.5638871533746335,4,INHBA_SMAD3,2.019860877041703,0.7404521618748682,-96.40186874360909,29.713435013595646,212.6665038508067,SE,64,0.014113337268253225,0.2712999687653736,0.0015604496002197266,209.43926982065685,-101.63736035878387,5.23549161517478,0.022130553168432265,0.0
207,0.5669274067628475,4,COL4A2_CD93,2.019860877041703,0.7313471513061093,-95.38511600546965,-16.496064579374146,66.23062878805264,SE,64,0.011967645633802293,0.23064202038248016,0.0013420581817626953,207.40576434437799,-100.61000274635418,5.2248867408845285,0.02226589638732479,0.0
311,0.3638634650343596,4,FGF23_FGFR1,3.2370446538154347,1.5466383093699907,-91.0970370469557,6.5954747282187585,5.389151364143072,SE,64,0.009364680811168332,0.19819396073740322,0.0012056827545166016,198.8296064273501,-96.2729087425822,5.175871695626498,0.022902677570664776,0.0
168,0.7487696305737033,4,ADAM12_SDC4,2.019860877041703,0.3212286270376919,-19.16580308170669,-8.353126640726341,19.014611995189334,SE,64,0.02966516677777354,0.8803729971262071,0.0009627342224121094,54.96713849685207,-24.279410179771418,5.113607098064726,0.023738915649924586,0.0
242,0.5227269775146978,4,COL6A3_ITGA1,2.019860877041703,0.8741426265900617,-105.38937881350584,18.528915161227857,80.5309939351217,SE,64,0.013400828376845024,0.25182598934347494,0.0009317398071289062,227.41428996045036,-110.46899060905547,5.079611795549624,0.024208789745328807,0.0
44,0.999954126227956,4,VEGFA_GPC1,1.2603588763580569,4.5399929762484854e-05,-81.87305753083942,-12.123571992372883,92.24439801156153,SE,64,0.16535814375751817,56905646.046717055,0.0017058849334716797,180.3816473951175,-86.94934434970494,5.076286818865526,0.02425526180095483,0.0
186,0.6474282761072189,4,LAMC2_ITGB4,2.019860877041703,0.5213701250085597,-29.94978057179511,-16.443241668186506,69.06789348166586,SE,64,0.02779490150989723,0.6015124155702299,0.0011181831359863281,76.53509347702891,-34.9429997882447,4.993219216449589,0.025446825432439257,0.0
62,0.6940687202881555,4,GRN_TNFRSF1B,2.019860877041703,0.4219993062191248,-101.48638323000165,35.41879098873824,330.6944688010979,SE,64,0.029068674533511325,0.7069763586148443,0.0011327266693115234,219.60829879344197,-106.44838050818119,4.961997278179538,0.025910264229551117,0.0
221,0.5187686915862911,4,FGB_ITGAV,2.019860877041703,0.8881175300455499,-95.69825095285955,33.15085898262517,254.53969744329734,SE,64,0.010530302209254081,0.1976787514555702,0.0013828277587890625,208.03203423915778,-100.63237328559096,4.934122332731405,0.026331431344420952,0.0
143,0.5865816507950665,4,FGA_PLAUR,2.019860877041703,0.6747635292564916,-88.44223264082369,14.025644290277626,48.69606805479917,SE,64,0.011880531452292559,0.23348305787627738,0.0011279582977294922,193.51999761508606,-93.33802088500909,4.895788244185397,0.02692228050127976,0.0
299,0.40616716576179235,4,TGFB1_ITGAV,3.2370446538154347,1.2934101647779817,-94.15883834763426,35.271997729690085,146.6185114913472,SE,64,0.009870820748496533,0.1956562510681749,0.0025968551635742188,204.9532090287072,-99.04598150704666,4.887143159412403,0.02705742303379377,0.0
251,0.6291292947578374,4,PSEN1_NCSTN,2.019860877041703,0.5643817320431043,-96.03889324049386,55.07342755558366,764.8686629651579,SE,64,0.021206937345259937,0.4431270731835717,0.0017218589782714844,208.7133188144264,-100.9240559329734,4.88516269247954,0.027088481466353453,0.0
147,0.68029725018682,4,AGTRAP_RACK1,2.019860877041703,0.4499227797780091,-3.5029845283212566,-14.747120928965238,56.69408905514556,SE,64,0.02319961309186935,0.5427081447757858,0.0011174678802490234,23.6415013900812,-8.308272744345288,4.8052882160240316,0.028372520481592556,0.0
452,0.2733984495709443,4,COL18A1_ITGA3,5.18771278254663,1.9705428265290368,-34.44232214730187,-9.985337297013615,6.258085169203628,SE,64,0.011000671533660135,0.2983398757621115,0.0011222362518310547,85.52017662804244,-39.23899078405366,4.7966686367517894,0.028514822990609257,0.0
210,0.6516230424566201,4,GSTP1_TRAF2,2.019860877041703,0.5118507156036156,-106.76510958843359,40.398607601668665,418.65632624017536,SE,64,0.02334287460649468,0.5096493726538518,0.0011324882507324219,230.16575151030585,-111.48327695789317,4.718167369459579,0.029845535310299764,0.0
