"","gene_name","sigma.sq","tau.sq","phi","loglik","runtime","mean","var","spcov","prop_sv","loglik_lm","LR_stat","rank","pval","padj"
"VWF_LRP1","VWF_LRP1",6.69887116568517,6.69887116568517e-08,13.3234731422212,-1421.3698117075,0.223000000000003,3.16430139817761,6.37352462126247,0.817942867276439,0.99999999,-1786.40098683739,730.062350259774,182,0,0
"APP_LRP1","APP_LRP1",8.23815934026945,8.23815934026945e-08,10.6317021786041,-1424.67084404118,0.280000000000001,3.54141510267507,7.17776307386774,0.81047245399336,0.99999999,-1831.67717998436,814.012671886358,88,0,0
"PSAP_LRP1","PSAP_LRP1",5.7251450883909,0.0068954170514197,13.5873549285525,-1369.61241257918,0.399999999999999,2.98620332327934,5.69348972747689,0.801260759091539,0.998797039719996,-1743.41303752436,747.60124989036,155,0,0
"COL4A2_CD93","COL4A2_CD93",7.29787281196208,7.29787281196208e-08,16.8424647725251,-1528.56515259726,0.227,2.67803361449241,6.81240627100725,1.00874668641691,0.99999999,-1811.77283190613,566.415358617737,393,0,0
"COL1A2_CD93","COL1A2_CD93",6.23692697258679,6.23692697258679e-08,20.7537405196061,-1530.84794093114,0.312999999999999,2.58356008376954,6.2970052824319,0.966644453729679,0.99999999,-1781.79909208609,501.902302309895,433,0,0
"COL4A1_CD93","COL4A1_CD93",7.05354358637997,7.05354358637997e-08,16.4929325451697,-1509.10888679922,0.219999999999999,2.8239569459456,6.69537130709878,0.940471427998527,0.99999999,-1805.17049679477,592.123219991102,366,0,0
"C1QA_CD93","C1QA_CD93",6.79531600808323,6.79531600808323e-08,17.3332757638119,-1510.19281094646,0.202000000000002,2.76667072082788,6.60522129181374,0.942209231221906,0.99999999,-1800.00566198753,579.625702082129,380,0,0
"HLA-B_CANX","HLA-B_CANX",5.41310600408207,5.41310600408207e-08,14.4346147994882,-1366.15329915527,0.331,2.51673293940832,5.78287259552874,0.924455759851604,0.99999999,-1749.3479427461,766.389287181652,138,0,0
"GSTP1_TRAF2","GSTP1_TRAF2",5.04949718760911,5.04949718760911e-08,12.9824913574852,-1305.17171774165,0.263000000000002,1.40675670147444,4.97561257261872,1.59736834805598,0.99999999,-1692.06380984186,773.784184200425,126,0,0
"S100A9_CD68","S100A9_CD68",5.13854065087497,1.20603988380034,11.5796830585271,-1523.16128774149,0.311,3.8689917877384,6.27352861285171,0.585898101007795,0.809910225394899,-1780.37598283967,514.429390196362,428,0,0
