,cluster,pvals_adj,logfoldchanges,names,sample
1922,4,2.6640578032952478e-17,8.504846,ADAM10_TSPAN5,B1
1923,4,2.6640578032952478e-17,11.820858,WNT7B_LRP5,B1
1924,4,2.6640578032952478e-17,19.428844,GPC3_IGF1R,B1
1925,4,2.6640578032952478e-17,11.737967,NTN1_NEO1,B1
1926,4,2.6640578032952478e-17,15.407981,COL4A2_ITGB5,B1
1927,4,2.6640578032952478e-17,6.2826777,GDF9_BMPR2,B1
1928,4,2.6640578032952478e-17,24.475107,CDH1_IGF1R,B1
1929,4,2.6640578032952478e-17,11.514002,CALM2_PLPP6,B1
1930,4,2.6640578032952478e-17,5.470305,TNF_TRADD,B1
1931,4,2.6640578032952478e-17,17.682932,FADD_TRADD,B1
1932,4,2.6640578032952478e-17,27.761185,LAMA5_ITGA6,B1
1933,4,2.6640578032952478e-17,14.397424,TNC_SDC1,B1
1934,4,2.6640578032952478e-17,17.963251,ADAM15_ITGAV,B1
1935,4,2.6640578032952478e-17,38.18197,HSP90AA1_ERBB2,B1
1936,4,2.6640578032952478e-17,15.117865,VEGFB_RET,B1
1937,4,2.6640578032952478e-17,18.512815,SEMA3B_NRP1,B1
1938,4,2.6640578032952478e-17,29.72997,SEMA3C_NRP1,B1
1939,4,2.6640578032952478e-17,16.180603,ADAM10_TSPAN14,B1
1940,4,2.6640578032952478e-17,33.866665,ADAM9_ITGB5,B1
1941,4,2.6640578032952478e-17,33.84831,VCL_ITGB5,B1
1942,4,2.6640578032952478e-17,26.241737,TNC_SDC4,B1
1943,4,2.6640578032952478e-17,10.307228,FGF13_FGFR3,B1
1944,4,2.6640578032952478e-17,7.094556,GDF9_TGFBR1,B1
1945,4,2.6640578032952478e-17,15.556892,ADAM10_NOTCH2,B1
1947,4,2.6640578032952478e-17,5.4952703,TNF_TNFRSF1A,B1
1948,4,2.6640578032952478e-17,18.394716,LAMA5_SDC1,B1
1949,4,2.6640578032952478e-17,14.075371,MIF_CD44,B1
1950,4,2.6640578032952478e-17,24.106653,ADAM9_ITGA6,B1
1951,4,2.6640578032952478e-17,14.319404,AZGP1_ITGAV,B1
1952,4,2.6640578032952478e-17,29.207493,HSP90AA1_FGFR3,B1
1953,4,2.6640578032952478e-17,19.224558,FN1_SDC2,B1
1954,4,2.6640578032952478e-17,9.725235,VCAN_CD44,B1
1955,4,2.6640578032952478e-17,30.77341,PKM_CD44,B1
1956,4,2.6640578032952478e-17,19.838829,ADAM10_CD44,B1
1957,4,2.6640578032952478e-17,6.822353,INHBB_ACVR2A,B1
1958,4,2.6640578032952478e-17,6.93258,IL20_IL20RA,B1
1959,4,2.6640578032952478e-17,14.854974,SPTBN2_PTPRA,B1
1960,4,2.6640578032952478e-17,37.69398,HSP90B1_ERBB2,B1
1961,4,2.6640578032952478e-17,18.648836,LAMA5_ITGA3,B1
1962,4,2.6640578032952478e-17,12.788485,CDH1_LRP5,B1
1963,4,2.6640578032952478e-17,13.142072,GDF15_RET,B1
1964,4,2.6640578032952478e-17,32.930706,VEGFA_GPC1,B1
1965,4,2.6640578032952478e-17,12.283955,COL4A5_ITGAV,B1
1967,4,2.6640578032952478e-17,14.285704,FADD_TRAF2,B1
1968,4,2.6640578032952478e-17,16.7415,SEMA4C_PLXNB2,B1
1969,4,2.6640578032952478e-17,12.504396,CALM1_HTR2C,B1
1970,4,2.6640578032952478e-17,22.48667,GNAS_VIPR1,B1
1971,4,2.6640578032952478e-17,18.001404,PTMA_VIPR1,B1
1972,4,2.6640578032952478e-17,18.560497,HMGB1_SDC1,B1
1973,4,2.6640578032952478e-17,8.403925,VEGFA_ITGA9,B1
1974,4,2.6640578032952478e-17,40.743557,FN1_CD44,B1
1976,4,2.6640578032952478e-17,11.639213,INHBB_ACVR1,B1
1977,4,2.6640578032952478e-17,18.234598,FARP2_PLXNA3,B1
1978,4,2.6640578032952478e-17,11.569387,PRG4_CD44,B1
1979,4,2.6640578032952478e-17,8.243105,APP_TSPAN15,B1
1980,4,2.6640578032952478e-17,30.571442,FN1_ITGA6,B1
1981,4,2.6640578032952478e-17,16.504354,LTBP1_ITGB5,B1
1982,4,2.6640578032952478e-17,13.97746,COL1A1_CD44,B1
1983,4,2.6640578032952478e-17,14.448957,EFNA4_EPHA1,B1
1984,4,2.6640578032952478e-17,5.5006332,BMP2_GPC1,B1
1985,4,2.6640578032952478e-17,12.119019,CALM1_VIPR1,B1
1986,4,2.6640578032952478e-17,30.966406,ADAM9_ITGAV,B1
1987,4,2.6640578032952478e-17,39.29101,HLA-B_CANX,B1
1988,4,2.6640578032952478e-17,15.569786,TGM2_SDC4,B1
1989,4,2.6640578032952478e-17,13.899019,SEMA3F_PLXNA1,B1
1990,4,2.6640578032952478e-17,21.871523,TNC_ITGAV,B1
1991,4,2.6640578032952478e-17,22.779139,EFNA1_EPHA1,B1
1992,4,2.6640578032952478e-17,17.419079,TIMP3_CD44,B1
1993,4,2.6640578032952478e-17,11.13846,TGS1_RXRA,B1
1994,4,2.6640578032952478e-17,8.415743,TGFB3_ITGB5,B1
1995,4,2.6640578032952478e-17,15.366033,FARP2_PLXNA1,B1
1996,4,2.6640578032952478e-17,37.05688,FN1_ITGAV,B1
1997,4,2.6640578032952478e-17,9.9088745,FGF1_CD44,B1
1998,4,2.6640578032952478e-17,33.063362,VEGFA_ITGAV,B1
1999,4,2.6640578032952478e-17,26.171331,COL4A1_ITGAV,B1
2000,4,2.6640578032952478e-17,34.369396,CXCL10_SDC4,B1
2001,4,2.6640578032952478e-17,14.490553,EFNB2_EPHB4,B1
2002,4,2.6640578032952478e-17,8.638267,ADAM10_NOTCH1,B1
2003,4,2.6640578032952478e-17,6.2440505,FGF13_FGFR4,B1
2004,4,2.6640578032952478e-17,14.84811,TLN1_ITGB5,B1
2005,4,2.6640578032952478e-17,9.747597,FN1_ITGA9,B1
2006,4,2.6640578032952478e-17,17.15535,CDH1_ERBB3,B1
2008,4,2.6640578032952478e-17,5.815574,ACE_BDKRB2,B1
2009,4,2.6640578032952478e-17,15.345632,COL1A2_CD44,B1
2011,4,2.6640578032952478e-17,21.632326,MDK_SDC4,B1
2012,4,2.6640578032952478e-17,14.713232,COL1A1_ITGAV,B1
2013,4,2.6640578032952478e-17,6.567738,CGN_TGFBR1,B1
2014,4,2.6640578032952478e-17,10.535781,VEGFB_NRP1,B1
2015,4,2.6751268475549063e-17,13.92052,PDGFB_ITGAV,B1
2016,4,2.6952824556238715e-17,13.600304,PSEN1_CD44,B1
2018,4,2.6952824556238715e-17,15.759072,SEMA3F_PLXNA3,B1
2019,4,2.6952824556238715e-17,5.1454525,BMP4_BMPR2,B1
2021,4,2.704512941250007e-17,9.768648,ITGB3BP_ITGB5,B1
2022,4,2.765261722289923e-17,9.602622,THBS1_ITGA6,B1
2023,4,2.765261722289923e-17,5.854509,FGF2_FGFR3,B1
2029,4,2.99840377352881e-17,5.1389728,LGALS8_ITGA3,B1
2030,4,3.0938259031673377e-17,9.706664,PSEN1_NOTCH3,B1
2032,4,3.0954845331079085e-17,11.854202,SEMA3F_NRP1,B1
2033,4,3.1200372816883146e-17,15.913368,COL1A2_ITGAV,B1
2034,4,3.1334676940805407e-17,10.379933,PSEN1_NCSTN,B1
2035,4,3.195088797414671e-17,14.556424,ADAM10_GPNMB,B1
2037,4,3.441927589770774e-17,5.960644,TNC_ITGA9,B1
2040,4,3.557977089360372e-17,11.115139,PSEN1_NOTCH2,B1
2041,4,3.5868107576435956e-17,5.5144815,APP_PTGER2,B1
2043,4,3.8091300151412834e-17,17.58961,CDH1_PTPRF,B1
2044,4,3.993808946491504e-17,6.517765,HBEGF_ERBB2,B1
2045,4,4.0601693579604214e-17,5.624971,ARTN_RET,B1
2046,4,4.27239413451688e-17,5.2684083,THBS1_LRP5,B1
2047,4,4.3298050224129036e-17,5.073579,HBEGF_CD44,B1
2048,4,4.352040272464699e-17,9.202004,COL6A1_ITGA6,B1
2049,4,4.388357126178156e-17,14.342747,CALR_ITGAV,B1
2052,4,5.0985096677500616e-17,5.647132,PDGFC_PDGFRB,B1
2054,4,6.268057743536203e-17,6.693068,FGF2_SDC4,B1
2055,4,6.596375256671667e-17,5.955394,FGF2_CD44,B1
2056,4,6.745687209618679e-17,10.063355,CDH1_PTPRM,B1
2057,4,6.959738666830789e-17,5.7407503,EDN2_EDNRA,B1
2058,4,7.099265396758959e-17,16.90371,SERPINE1_ITGB5,B1
2059,4,7.773892463810989e-17,15.304861,GNAI2_IGF1R,B1
2060,4,8.112022406462758e-17,6.5430646,FADD_ABCA1,B1
2061,4,8.857825466979803e-17,8.000912,MADCAM1_CD44,B1
2064,4,1.4689885285373232e-16,5.611225,ADAM15_ITGA9,B1
2065,4,1.5152296154450236e-16,5.590642,OSM_OSMR,B1
2066,4,1.5281266943141184e-16,5.7161956,SPTAN1_PTPRA,B1
2069,4,2.1529061880592482e-16,8.876438,CTHRC1_FZD6,B1
2072,4,2.3617104041452186e-16,9.442418,SEMA4D_ERBB2,B1
2074,4,2.8964210724261014e-16,16.626009,PLAU_ITGB5,B1
2075,4,3.2392313669090385e-16,8.462296,APOE_SDC2,B1
2077,4,3.713420959177137e-16,6.115542,APP_NOTCH2,B1
2079,4,3.819079028908918e-16,9.7922,APOE_LRP5,B1
2080,4,4.151820652666463e-16,8.99089,NRG2_ERBB2,B1
2083,4,8.494233726895482e-16,11.784334,NRG4_ERBB2,B1
2084,4,9.639190717777681e-16,5.594749,APP_NCSTN,B1
2086,4,1.6462662978150976e-15,5.8034024,SEMA4A_NRP1,B1
2087,4,1.6782030573050953e-15,6.9810004,VEGFA_EPHB2,B1
2092,4,2.3636738929480088e-15,5.4815187,PDGFB_PDGFRB,B1
2093,4,2.482531608519446e-15,7.843823,COL18A1_ITGB5,B1
2095,4,2.7979604507224815e-15,5.688053,LTBP3_ITGB5,B1
2096,4,4.3241707919732465e-15,5.2780113,ARF1_INSR,B1
2097,4,4.588528774257979e-15,5.156713,LGALS9_CD44,B1
2099,4,6.81353715336147e-15,13.903244,SERPINE1_ITGAV,B1
2102,4,9.450725592347359e-15,7.7544146,THBS1_SDC4,B1
2104,4,1.904010077024759e-14,7.0422273,FADD_FAS,B1
2108,4,4.003025592223565e-14,6.4209003,FASLG_TNFRSF1A,B1
2109,4,5.771019420925505e-14,9.332078,GNAS_ADCY9,B1
2110,4,1.1376109633816336e-13,5.5189276,EBI3_IL6ST,B1
2112,4,2.102119028447288e-13,7.819575,EFNB2_PECAM1,B1
2113,4,2.6345850452793983e-13,8.216049,HMGB1_CXCR4,B1
2114,4,3.0530984211892443e-13,5.619166,APP_GPC1,B1
2116,4,9.845721007125625e-13,13.61294,PLAU_ITGAV,B1
2121,4,1.6485146214869068e-12,8.574163,PLAU_ITGA3,B1
2125,4,7.292786296234427e-12,8.586556,GNAS_ADORA1,B1
2126,4,8.6764103925656e-12,6.3763475,EFNB1_ERBB2,B1
2136,4,1.0316930125733069e-10,5.1269574,COL4A1_ITGA1,B1
2137,4,1.4374523469644536e-10,5.334189,FN1_FLT4,B1
2139,4,1.630098952592218e-10,9.480183,ICAM1_ITGAX,B1
2145,4,6.007474144717083e-10,7.502085,ICAM1_ITGB2,B1
2149,4,1.6246571912778815e-09,6.1049967,ICAM1_IL2RG,B1
2150,4,1.7437493862277604e-09,7.8929167,CXCL10_CXCR3,B1
2153,4,5.256180182099788e-09,5.0015073,FN1_ITGB7,B1
2157,4,9.778838311102523e-09,7.4775977,CXCL13_CXCR3,B1
2162,4,2.0145216928049788e-08,5.154314,PLAU_ITGB2,B1
2187,4,7.050211157377023e-05,5.442208,PSAP_AR,B1
0,1,1.3377094812269426e-44,6.9178896,CDH1_ITGAE,C1
13,1,2.028374580345129e-44,11.848862,CDH1_PTPRF,C1
19,1,2.5791034492760417e-44,16.302948,HSP90AA1_ERBB2,C1
28,1,5.988645539459537e-44,6.4637785,TGFB3_ITGB6,C1
37,1,9.567378505428288e-44,9.909428,CDH1_ERBB3,C1
57,1,7.010182504601935e-43,6.197027,MDK_SDC4,C1
66,1,2.68435046742763e-42,5.0041738,S100A10_TRPV6,C1
70,1,7.3942385560356e-42,8.792927,FN1_ITGB6,C1
75,1,1.1503252192477673e-41,5.3053637,CEACAM6_EGFR,C1
105,1,2.680066637522984e-40,8.119088,TNC_ITGB6,C1
113,1,1.191275952130813e-39,7.48913,PIP_AQP5,C1
127,1,8.58883065560771e-39,6.4367046,TNC_SDC4,C1
166,1,5.945920493954124e-36,12.140992,HSP90B1_ERBB2,C1
192,1,2.138095945017776e-33,5.2360077,TNC_SDC1,C1
823,2,1.3377094812269426e-44,7.449072,HLA-B_KLRD1,C1
824,2,1.3377094812269426e-44,5.411781,MMP2_PECAM1,C1
825,2,1.3377094812269426e-44,5.7113094,HLA-E_KLRD1,C1
827,2,1.3377094812269426e-44,9.839122,C3_ITGB2,C1
830,2,1.3377094812269426e-44,5.849213,CD14_ITGB2,C1
831,2,1.3377094812269426e-44,6.834283,B2M_KLRD1,C1
833,2,1.3377094812269426e-44,5.200599,ICAM1_ITGB2,C1
835,2,1.4024618869025524e-44,7.4134417,LGALS1_PTPRC,C1
836,2,1.4024618869025524e-44,6.725928,LYZ_ITGAL,C1
844,2,1.5808809238889663e-44,5.4705133,COL6A2_ITGA1,C1
848,2,1.7988668784526195e-44,12.015902,HLA-B_CD3D,C1
849,2,1.7988668784526195e-44,9.715664,HLA-A_CD3D,C1
851,2,2.153821492060243e-44,11.589902,B2M_HLA-F,C1
865,2,3.498289260574073e-44,5.5165524,VIM_CD44,C1
866,2,3.5120821622543586e-44,5.770059,C3_ADRA2A,C1
875,2,4.49596583555824e-44,5.9991803,CCL5_SDC1,C1
883,2,7.315963938624989e-44,5.0794806,COL1A1_ITGA1,C1
888,2,8.906267243716e-44,10.561289,HLA-C_CD3D,C1
889,2,9.653126601657173e-44,11.120994,B2M_CD3D,C1
896,2,2.2784557563404044e-43,5.5104084,COL1A1_CD44,C1
904,2,3.299189831840462e-43,8.774206,FN1_CD79A,C1
909,2,5.70149222150546e-43,7.370349,C3_ITGAX,C1
910,2,6.005299679102779e-43,6.478116,B2M_CD247,C1
941,2,1.229369385760175e-41,7.947251,CALR_HLA-F,C1
0,1,3.9955499139595e-87,8.068481,CDH1_ERBB3,D1
1,1,1.4312115290527962e-86,7.876938,CDH1_PTPRF,D1
2,1,5.4484456804278816e-86,5.4770684,TNC_ITGB6,D1
3,1,1.3514384009905165e-85,18.838982,FN1_ITGB6,D1
4,1,1.3514384009905165e-85,6.7545395,FBN1_ITGB6,D1
5,1,1.631966834393449e-85,9.052879,THBS2_CD36,D1
10,1,3.2994390171924373e-84,15.716467,COL1A2_CD36,D1
12,1,3.508950744852171e-83,15.393498,COL1A1_CD36,D1
16,1,1.8599983409473896e-82,7.459692,THBS1_CD36,D1
18,1,2.9076824177967715e-82,5.9736786,S100A8_CD36,D1
19,1,2.9566035099856366e-82,7.3142815,SEMA4C_PLXNB2,D1
37,1,8.793563268170767e-79,5.422654,VEGFA_ITGAV,D1
39,1,1.679889698036896e-78,7.6649666,S100A9_CD36,D1
50,1,2.4709086397086703e-76,7.55362,COMP_CD36,D1
77,1,7.412483431741649e-72,5.3111563,HSP90B1_ERBB2,D1
84,1,4.038714204917824e-70,8.490978,FN1_ITGA6,D1
115,1,1.8376866074822423e-65,5.940046,HSP90AA1_ERBB2,D1
993,2,1.3092357527817392e-85,6.356546,HLA-A_CD3D,D1
999,2,3.200019566212238e-85,7.351138,C3_ITGAX,D1
1000,2,3.4990706084955866e-85,8.552289,HLA-B_CD3D,D1
1001,2,8.147034485580427e-85,7.537429,C3_ITGB2,D1
1014,2,2.2352051360023392e-82,7.997623,B2M_CD3D,D1
1016,2,3.8283697151947774e-82,9.298703,B2M_HLA-F,D1
1021,2,5.779946995316101e-81,6.061564,CCL5_SDC1,D1
1023,2,1.8022879218053664e-80,5.4033146,VIM_CD44,D1
1026,2,1.2135047114068873e-79,5.71294,CALR_HLA-F,D1
1027,2,1.5124089139393787e-79,5.177456,LGALS1_PTPRC,D1
1233,2,8.298934018921437e-41,5.091455,FN1_ITGB7,D1
0,1,1.7358296236587625e-176,31.159645,HSP90AA1_ERBB2,F1
1,1,1.2260684213750627e-175,13.651236,CDH1_ERBB3,F1
2,1,7.854943718182568e-175,9.100525,SEMA3F_PLXNA3,F1
3,1,4.2738235184631e-174,10.369451,ADAM10_CD44,F1
4,1,1.606426733766356e-168,9.419107,ADAM10_NOTCH2,F1
5,1,1.073243097338906e-167,13.134652,PKM_CD44,F1
6,1,9.409131387387295e-167,10.929639,HSP90AA1_FGFR3,F1
7,1,6.571910475682815e-166,13.110017,APP_NOTCH2,F1
8,1,8.862712761332851e-166,10.070188,APP_GPC1,F1
9,1,3.406483087844102e-165,16.729328,APP_NCSTN,F1
10,1,3.2357185899480117e-164,6.684872,FARP2_PLXNA3,F1
11,1,3.6922279713549374e-163,12.598805,GNAS_VIPR1,F1
12,1,5.5452730467279046e-163,24.00613,HSP90B1_ERBB2,F1
13,1,1.4513650018789532e-161,11.61256,LACRT_SDC1,F1
14,1,5.373467847600302e-160,6.5676713,ADAM9_ITGAV,F1
15,1,6.412710519438715e-159,10.358007,PTMA_VIPR1,F1
16,1,4.901641404886316e-158,9.458511,VEGFA_ITGAV,F1
17,1,1.9704322170119932e-156,7.6588116,CALM3_AR,F1
18,1,3.530411105993404e-155,10.454444,MDK_SDC1,F1
20,1,9.171748652238775e-154,7.762263,MIF_CD44,F1
21,1,3.240792174909422e-153,6.847238,ADAM10_TSPAN14,F1
23,1,5.981210532802155e-150,10.007478,EFNB2_EPHB4,F1
25,1,4.4611807240554604e-148,5.3538027,ADAM10_TSPAN15,F1
28,1,1.2914481476011696e-145,17.484598,FN1_ITGB6,F1
29,1,3.770036874857149e-145,5.4412217,EFNA1_EPHA1,F1
31,1,1.1570122718765385e-142,5.91752,TNC_ITGB6,F1
32,1,3.401909589642296e-142,8.012148,COL1A1_CD44,F1
35,1,2.4274952161315272e-137,6.9729047,AZGP1_ITGAV,F1
38,1,1.1027563692881718e-135,8.9533615,FN1_CD44,F1
39,1,4.287287998673636e-135,5.3295135,AREG_ERBB3,F1
43,1,1.3928099972871396e-131,5.1470942,GNAS_ADORA1,F1
51,1,6.4225764070355386e-124,6.2679396,APP_TSPAN15,F1
54,1,3.884101370901628e-118,7.5687184,CALR_ITGA3,F1
56,1,1.888972058479659e-117,5.5299897,CALM3_INSR,F1
57,1,1.6643340265002422e-116,5.2771378,COL1A2_CD44,F1
58,1,5.308279427759368e-116,6.5802813,FBN1_ITGB6,F1
67,1,2.932402498536844e-106,6.9175644,FN1_ITGA3,F1
69,1,8.886640689446414e-106,5.338158,SEMA4C_PLXNB2,F1
72,1,1.835160438689307e-104,5.4993196,HMGB1_SDC1,F1
73,1,5.93186366737282e-104,5.7435646,THBS1_SDC1,F1
75,1,1.0705166818237856e-101,11.439851,TGFA_ERBB2,F1
97,1,1.1426808572197087e-69,6.437925,PSAP_AR,F1
391,2,1.1027757584950741e-85,8.777506,S100A8_ITGB2,F1
392,2,2.4316565862857869e-85,11.846208,C3_ITGB2,F1
394,2,5.396554174017765e-82,7.1136384,CD14_ITGB2,F1
395,2,3.153511926598775e-81,7.9087496,ICAM1_ITGB2,F1
397,2,1.1932527139280693e-80,11.584694,APOE_TREM2,F1
400,2,2.438413223988968e-79,5.291819,ICAM1_ITGAL,F1
402,2,6.788689083369583e-79,5.035056,MMP9_ITGB2,F1
412,2,4.6036523690382595e-74,5.631585,S100A9_ITGB2,F1
413,2,5.834927688495044e-74,8.191411,FN1_CD79A,F1
414,2,3.977856919845083e-73,5.3461924,LYZ_ITGAL,F1
421,2,1.3475883870299365e-70,5.411695,COL1A1_ITGA5,F1
422,2,2.4398751985011645e-70,5.5330544,FN1_ITGA5,F1
427,2,2.7766817322236324e-68,8.871226,HBEGF_ERBB2,F1
441,2,4.211483160293902e-64,5.144558,C3_ITGAX,F1
454,2,1.2907655972722801e-58,7.4324217,HLA-C_CD3D,F1
456,2,3.230607892265568e-58,8.095379,HLA-B_CD3D,F1
464,2,1.553804069323561e-54,5.674818,NRG4_ERBB2,F1
474,2,3.371367196927217e-52,7.6888194,HLA-A_CD3D,F1
478,2,2.617456773002243e-51,5.700865,B2M_CD3D,F1
778,3,4.1088202269386926e-63,14.765235,IL16_CD4,F1
779,3,6.243237925357309e-63,29.698349,C3_ITGB2,F1
780,3,6.260264304748711e-63,36.511086,APOE_TREM2,F1
781,3,7.328578903611455e-63,11.70771,ICAM2_ITGB2,F1
782,3,7.328578903611455e-63,13.206205,MMP9_ITGB2,F1
783,3,7.328578903611455e-63,12.332039,CCL5_CXCR3,F1
784,3,7.328578903611455e-63,7.1434855,CCL19_CXCR3,F1
785,3,7.328578903611455e-63,16.943243,CD14_ITGB2,F1
786,3,7.328578903611455e-63,30.085562,HLA-C_CD3D,F1
787,3,7.328578903611455e-63,32.62609,HLA-B_CD3D,F1
788,3,7.328578903611455e-63,13.25315,S100A9_ITGB2,F1
789,3,7.53591795556877e-63,12.345051,SELPLG_ITGB2,F1
790,3,7.590152513258417e-63,8.787075,ICAM2_ITGAL,F1
791,3,8.193884172861355e-63,8.636484,CXCL12_CD4,F1
792,3,8.766213162431687e-63,5.544921,CXCL12_CXCR3,F1
793,3,1.2489236861975906e-62,18.676765,C3_ITGAX,F1
794,3,1.3575697918025145e-62,7.2286596,FBN1_ITGA5,F1
795,3,3.982344494104988e-62,29.937975,HLA-A_CD3D,F1
796,3,6.004986109245841e-62,12.011782,ICAM1_ITGAL,F1
797,3,7.106364652549408e-62,16.170177,ICAM1_ITGB2,F1
798,3,7.701714411899432e-62,8.886672,ICAM1_IL2RG,F1
799,3,7.808830940892784e-62,7.6597505,IL34_CSF1R,F1
801,3,1.8643840393494892e-61,10.047732,ICAM1_ITGAX,F1
803,3,1.932307783985455e-61,10.516709,ICAM3_ITGB2,F1
804,3,2.3056515942739716e-61,12.753293,COL18A1_ITGA5,F1
806,3,8.33477675164672e-61,7.7990746,ICAM3_ITGAL,F1
807,3,8.848466786089188e-61,21.426899,B2M_CD3D,F1
808,3,1.0175325146716235e-60,5.2860737,CCL11_CXCR3,F1
809,3,1.13459007524678e-60,11.204033,CCL5_SDC4,F1
810,3,1.3251472711313067e-60,23.00868,FN1_CD79A,F1
812,3,3.125306370313748e-60,15.836292,S100A8_ITGB2,F1
813,3,6.997904722484565e-60,8.222829,CXCL12_SDC4,F1
814,3,8.531987443062207e-60,9.717312,GNAI2_CXCR3,F1
815,3,8.921470418416728e-60,7.848523,GAS6_AXL,F1
816,3,9.208026918906724e-60,10.371949,LTB_TNFRSF1A,F1
817,3,1.0196268868871448e-59,11.053338,ADAM15_ITGA5,F1
818,3,1.1865160043511808e-59,9.733961,MMP2_PECAM1,F1
819,3,1.7073417709280673e-59,13.706602,COL1A1_ITGA5,F1
820,3,2.4960850881704755e-59,6.177291,CCL21_CXCR3,F1
822,3,3.8400033798333973e-59,5.9639816,TNFSF14_LTBR,F1
823,3,1.0880506136124975e-58,5.517531,MMP9_IFNAR1,F1
827,3,3.072757146861228e-57,5.796255,HLA-G_CD4,F1
828,3,3.4321265524678006e-57,11.675704,LYZ_ITGAL,F1
829,3,3.802706675315795e-57,12.630796,FN1_ITGA5,F1
831,3,9.133716415866079e-57,8.099605,LTB_LTBR,F1
832,3,4.318912678755823e-56,7.365494,COL18A1_ITGB5,F1
833,3,6.886869574941251e-56,10.142742,CCL5_SDC1,F1
836,3,8.062119349544063e-56,5.2456098,CXCL9_CXCR3,F1
839,3,3.6231790508301485e-55,6.956967,CSF1_CSF1R,F1
841,3,3.955603782054319e-54,7.4635553,GNAI2_S1PR4,F1
842,3,6.023991009568672e-54,7.5838876,COL4A2_ITGB5,F1
846,3,1.213971307455925e-52,5.3333955,JAG1_NOTCH3,F1
847,3,2.2139417301086185e-52,5.2646284,FYN_THY1,F1
850,3,6.410126237311682e-52,7.625763,TGM2_SDC4,F1
853,3,1.2531124752787576e-50,11.471298,L1CAM_ERBB2,F1
857,3,5.796815234082636e-49,8.834468,B2M_CD247,F1
858,3,9.202690719153489e-49,6.1728973,EFNB3_EPHB4,F1
862,3,4.510166417054899e-48,5.638119,LGALS1_PTPRC,F1
870,3,1.786530328978429e-45,12.267476,HBEGF_ERBB2,F1
877,3,3.198174828865503e-44,5.252705,NID1_PTPRF,F1
886,3,5.098819420064163e-42,5.1013503,JAG2_NOTCH3,F1
887,3,8.706907594314409e-42,6.7188134,HSPG2_SDC1,F1
891,3,2.0139806710326622e-39,5.208986,SLIT2_SDC1,F1
894,3,7.769113146102956e-38,5.3343925,LAMB2_ITGB4,F1
895,3,3.633057991410009e-37,5.1014924,COL1A1_ITGA11,F1
920,3,1.0479273263086905e-21,6.0223894,S100A4_ERBB2,F1
931,3,6.261741266871987e-17,6.6335173,EFNB1_ERBB2,F1
0,1,7.239557613525367e-91,11.80601,TGFB1_ITGAV,G2
1,1,9.904800624343546e-91,25.154886,C3_ITGAX,G2
2,1,8.120122509691798e-90,19.214561,AGTRAP_RACK1,G2
4,1,4.268901957366723e-89,11.752153,SPON2_ITGB2,G2
5,1,5.97323716885573e-89,13.218693,CD14_ITGB2,G2
6,1,1.2085795772650382e-88,24.37274,C3_ITGB2,G2
9,1,1.3350671146534748e-88,17.495405,MFGE8_PDGFRB,G2
11,1,2.7258486914658455e-88,23.00211,MMP2_PECAM1,G2
12,1,5.963683141428052e-88,14.348856,LGALS1_PTPRC,G2
13,1,1.4387735033752637e-87,9.440948,TGFB1_TGFBR2,G2
15,1,2.707859818611041e-87,8.708454,TGFB1_CXCR4,G2
16,1,2.7247492660812667e-87,25.98749,HSPG2_SDC1,G2
17,1,3.5415999242331654e-87,11.432373,FBN1_ITGA5,G2
18,1,3.5838645628731507e-87,18.191544,EFEMP2_AQP1,G2
19,1,4.789118350471856e-87,5.0362296,LAMA2_ITGA1,G2
21,1,1.7720894302513063e-86,18.379295,COL6A2_ITGA1,G2
22,1,2.228927009907122e-86,11.625366,MMP9_ITGB2,G2
23,1,4.349998168583933e-86,15.653528,C3_ADRA2A,G2
24,1,4.545682044858876e-86,9.615466,COL6A3_ITGA1,G2
25,1,4.545682044858876e-86,7.6349893,GNAI2_CHRM1,G2
26,1,5.9257386864714416e-86,10.854281,MFGE8_ITGAV,G2
27,1,1.0100779477871679e-85,10.416101,GNAI2_ADRA2A,G2
29,1,1.8849282556279477e-85,6.8081503,ICAM2_ITGB2,G2
30,1,2.71973292839279e-85,12.021504,COL4A1_ITGA1,G2
31,1,3.466254106527836e-85,20.821007,COL1A1_ITGA1,G2
33,1,4.638860565768519e-85,15.380187,GAS6_AXL,G2
34,1,7.14504600754028e-85,25.26118,COL1A1_ITGA5,G2
35,1,7.458204884777204e-85,10.389578,GNAI2_S1PR4,G2
36,1,1.0398232297511474e-84,10.199365,BGN_TLR4,G2
37,1,7.655676497945616e-84,9.581629,GNAI2_F2R,G2
38,1,2.7898817135999184e-83,10.201192,COL6A1_ITGA1,G2
39,1,3.1770192933202593e-83,6.214229,CXCL14_CXCR4,G2
40,1,3.1770192933202593e-83,9.211335,FBN1_ITGAV,G2
43,1,3.5987972394211463e-81,16.385164,COL1A2_ITGA1,G2
47,1,3.787113678936555e-80,8.740866,SLIT2_SDC1,G2
48,1,4.347482108237425e-80,15.124512,COL18A1_ITGA5,G2
50,1,8.970270822353829e-80,9.874585,COL4A2_ITGB5,G2
52,1,1.4855912240836043e-79,8.2112255,CCL19_ADRA2A,G2
54,1,2.0418742845338965e-78,6.7519364,SELPLG_ITGB2,G2
55,1,1.0758840361163606e-77,9.909837,TGFB1_ITGB5,G2
57,1,3.254615428828601e-77,10.302361,CSF1_CSF1R,G2
