,ligand,receptor,spc
ADAM10_NOTCH2,ADAM10,NOTCH2,0.577980577980578
APP_NOTCH2,APP,NOTCH2,0.11588083509265774
JAG2_NOTCH2,JAG2,NOTCH2,0.07360390964896597
PDGFB_PDGFRA,PDGFB,PDGFRA,0.7663667390629848
CD14_RIPK1,CD14,RIPK1,0.6323604710701485
CALR_HLA-F,CALR,HLA-F,0.9592233009708738
B2M_HLA-F,B2M,HLA-F,0.6323604710701485
PLAU_ITGAV,PLAU,ITGAV,0.47198203793054033
SPP1_ITGAV,SPP1,ITGAV,0.04093232908266839
NID1_ITGAV,NID1,ITGAV,0.017784
PDGFB_ITGAV,PDGFB,ITGAV,0.3259112650503051
CALR_ITGAV,CALR,ITGAV,0.8897694524495677
FGG_ITGAV,FGG,ITGAV,0.4911513223304832
FGA_ITGAV,FGA,ITGAV,0.48120007792713815
MFGE8_ITGAV,MFGE8,ITGAV,0.732448661872637
FGB_ITGAV,FGB,ITGAV,0.07236610805109575
FBN1_ITGAV,FBN1,ITGAV,0.35318510045041823
AZGP1_ITGAV,AZGP1,ITGAV,0.6482939632545932
ADAM9_ITGAV,ADAM9,ITGAV,1.0
VEGFA_ITGAV,VEGFA,ITGAV,0.732448661872637
ADAM15_ITGAV,ADAM15,ITGAV,0.0054888888888888895
COL1A2_ITGAV,COL1A2,ITGAV,0.09396100808368997
COL4A1_ITGAV,COL4A1,ITGAV,0.08551743239968147
FN1_ITGAV,FN1,ITGAV,0.4900793650793651
SAA1_SCARB1,SAA1,SCARB1,0.7891373801916932
PDGFB_PDGFRB,PDGFB,PDGFRB,0.577980577980578
MFGE8_PDGFRB,MFGE8,PDGFRB,0.834177642688281
CALM1_KCNN4,CALM1,KCNN4,0.04093232908266839
PSEN1_NOTCH3,PSEN1,NOTCH3,0.68826192964124
THBS2_NOTCH3,THBS2,NOTCH3,0.48120007792713815
SCGB3A1_NOTCH3,SCGB3A1,NOTCH3,0.7544864452080947
JAG2_NOTCH3,JAG2,NOTCH3,0.9070877708409841
APP_APLP2,APP,APLP2,0.13022274943983128
HLA-A_APLP2,HLA-A,APLP2,0.012886956521739129
GPC3_CD81,GPC3,CD81,0.0054888888888888895
CD99_CD81,CD99,CD81,0.2474330077635863
AFDN_NECTIN1,AFDN,NECTIN1,0.0987012987012987
BMP2_GPC1,BMP2,GPC1,0.9852413242919824
APP_GPC1,APP,GPC1,0.10881057268722467
COL18A1_GPC1,COL18A1,GPC1,0.6983319197059654
VEGFA_GPC1,VEGFA,GPC1,1.0
NLGN2_NRXN2,NLGN2,NRXN2,0.7201166180758017
AFDN_NRXN2,AFDN,NRXN2,0.3291577825159915
GPC3_IGF1R,GPC3,IGF1R,0.05039170882976988
INS_IGF1R,INS,IGF1R,0.11159302430649679
GNAI2_IGF1R,GNAI2,IGF1R,1.0
S100A4_ERBB2,S100A4,ERBB2,0.8125
SEMA4D_ERBB2,SEMA4D,ERBB2,0.9476309226932669
HLA-A_ERBB2,HLA-A,ERBB2,0.45861764842408204
HSP90B1_ERBB2,HSP90B1,ERBB2,0.6185825194089657
HSP90AA1_ERBB2,HSP90AA1,ERBB2,0.8292764814503945
PSEN1_NOTCH1,PSEN1,NOTCH1,0.68826192964124
MFAP2_NOTCH1,MFAP2,NOTCH1,0.9070877708409841
JAG2_NOTCH1,JAG2,NOTCH1,0.9709119496855346
PLAU_ST14,PLAU,ST14,0.4479303622432787
SPINT1_ST14,SPINT1,ST14,0.5374823196605375
GNAI2_ADRA2A,GNAI2,ADRA2A,0.1742504409171076
AGT_ADRA2A,AGT,ADRA2A,0.0054888888888888895
SAA1_ADRA2A,SAA1,ADRA2A,0.5574362446400362
CXCL2_ADRA2A,CXCL2,ADRA2A,0.18808300019036742
APP_ADRA2A,APP,ADRA2A,0.08481414713709332
CXCL1_ADRA2A,CXCL1,ADRA2A,0.7133574007220217
PPY_ADRA2A,PPY,ADRA2A,0.019000000000000003
CXCL16_ADRA2A,CXCL16,ADRA2A,0.6053921568627452
ANXA1_ADRA2A,ANXA1,ADRA2A,0.9070877708409841
COL6A1_ITGA1,COL6A1,ITGA1,0.7457729468599035
COL5A1_ITGA1,COL5A1,ITGA1,0.1702127659574468
COL6A2_ITGA1,COL6A2,ITGA1,0.9852413242919824
COL6A3_ITGA1,COL6A3,ITGA1,0.9070877708409841
COL5A2_ITGA1,COL5A2,ITGA1,0.9852413242919824
COL1A2_ITGA1,COL1A2,ITGA1,0.8977737392094502
COL4A1_ITGA1,COL4A1,ITGA1,0.5143690129112869
FBN1_ITGB6,FBN1,ITGB6,1.0
FN1_ITGB6,FN1,ITGB6,0.4045864045864046
CSF1_CSF1R,CSF1,CSF1R,0.7133574007220217
GNAS_PTGIR,GNAS,PTGIR,1.0
FGF19_FGFR4,FGF19,FGFR4,1.0
PLAU_ITGA5,PLAU,ITGA5,1.0
SPP1_ITGA5,SPP1,ITGA5,0.7222222222222223
FGG_ITGA5,FGG,ITGA5,0.8977737392094502
FGA_ITGA5,FGA,ITGA5,1.0
FGB_ITGA5,FGB,ITGA5,0.7891373801916932
FBN1_ITGA5,FBN1,ITGA5,0.9709119496855346
COL18A1_ITGA5,COL18A1,ITGA5,0.7133574007220217
ADAM15_ITGA5,ADAM15,ITGA5,0.4900793650793651
FN1_ITGA5,FN1,ITGA5,1.0
WNT7B_LRP5,WNT7B,LRP5,0.3352789466539976
DKK1_LRP5,DKK1,LRP5,0.4911513223304832
PSEN1_NCSTN,PSEN1,NCSTN,0.7762413576367064
FN1_IL17RC,FN1,IL17RC,0.4442446043165467
PLAU_ITGB5,PLAU,ITGB5,0.577980577980578
SPP1_ITGB5,SPP1,ITGB5,0.8125
TLN1_ITGB5,TLN1,ITGB5,0.8897694524495677
COL4A2_ITGB5,COL4A2,ITGB5,1.0
ADAM9_ITGB5,ADAM9,ITGB5,0.9592233009708738
COL18A1_ITGB5,COL18A1,ITGB5,0.7088026400746109
LTBP3_ITGB5,LTBP3,ITGB5,0.5117845117845118
LTBP1_ITGB5,LTBP1,ITGB5,0.026346666666666668
MST1_MST1R,MST1,MST1R,0.7663667390629848
LAMC3_ITGA2,LAMC3,ITGA2,0.68826192964124
COL6A1_ITGA2,COL6A1,ITGA2,0.7133574007220217
COL6A2_ITGA2,COL6A2,ITGA2,0.4911513223304832
MMP1_ITGA2,MMP1,ITGA2,0.9311092262746206
HSPG2_ITGA2,HSPG2,ITGA2,0.306965761511216
LAMB3_ITGA2,LAMB3,ITGA2,1.0
COL1A2_ITGA2,COL1A2,ITGA2,0.577980577980578
COL4A1_ITGA2,COL4A1,ITGA2,0.6374193548387097
FN1_ITGA2,FN1,ITGA2,0.9070877708409841
COL7A1_ITGA2,COL7A1,ITGA2,0.9070877708409841
COL3A1_ITGA2,COL3A1,ITGA2,1.0
GAS6_AXL,GAS6,AXL,0.6016319571306784
LRPAP1_LRP8,LRPAP1,LRP8,1.0
INS_INSR,INS,INSR,0.01235
ARF1_INSR,ARF1,INSR,0.45861764842408204
HRAS_INSR,HRAS,INSR,0.9476309226932669
CALM1_INSR,CALM1,INSR,1.0
FN1_ROBO4,FN1,ROBO4,0.7133574007220217
CD6_ALCAM,CD6,ALCAM,0.3934374004460019
S100A9_ALCAM,S100A9,ALCAM,0.8897694524495677
PLAU_MRC2,PLAU,MRC2,0.8125
LGALS9_MRC2,LGALS9,MRC2,0.9592233009708738
CALM1_AQP1,CALM1,AQP1,0.32258064516129037
C1QA_CSPG4,C1QA,CSPG4,0.9070877708409841
C4B_CD46,C4B,CD46,0.05483040312555496
SEMA4A_PLXND1,SEMA4A,PLXND1,0.20169851380042464
SEMA4D_MET,SEMA4D,MET,1.0
AFDN_EPHB3,AFDN,EPHB3,0.11159302430649679
FAM3C_LAMP1,FAM3C,LAMP1,0.05483040312555496
PLAU_PLAUR,PLAU,PLAUR,0.7891373801916932
FN1_PLAUR,FN1,PLAUR,0.8728686279706689
