,SOMDE,SpatialDE,SPARKX,nnSVG,scGCO
FBN1_ITGA5,0.0003157903772687,0.0,1.4381796336822101e-09,0,4.0396053801038754e-14
CALM2_KCNQ1,0.0003157903772687,1.7691941102091204e-15,4.40759779654988e-14,0,2.13366820537132e-26
LGALS8_ITGA3,0.0003195442208758,2.54492479072967e-06,8.4090017675021e-13,0,1.0236175319652806e-18
AFDN_NECTIN1,0.0003195442208758,0.0016977870296508,1.16581673027011e-08,0,1.5308821164584128e-14
LTF_LRP1,0.000341982159123,1.122080535290114e-08,3.20873036665276e-08,0,3.415748958565493e-23
CD14_RIPK1,0.000354664126726,0.2225646580408139,2.58172637183086e-05,0,4.4668135348738926e-15
LAMB2_ITGA3,0.0003559218641264,1.7186003905283692e-07,1.511109308262e-05,0,8.953540268357729e-20
JAG2_NOTCH2,0.0003559218641264,2.92116699333883e-05,1.23717680743182e-06,0,1.7608884946827658e-11
A2M_LRP1,0.0003604958777676,0.0002196226796822,9.06676244996215e-27,0,3.4106448315041886e-10
VCAM1_ITGB2,0.000361830197212,9.036857716695792e-07,6.52385586364059e-09,0,9.484593689885468e-15
C3_ITGAX,0.0003812267865396,0.004374961565867,1.1156731922516899e-13,0,7.184613180567865e-10
ADAM10_AXL,0.0003815936929603,0.0032229829771776,2.08901924865895e-07,0,4.927874552790889e-12
ICAM3_ITGB2,0.000384408499904,1.730820783112328e-06,0.0059129444098018,0,1.263614856301255e-17
COL1A1_ITGAV,0.0004242578602777,2.878755017311677e-09,1.91294053178011e-24,0,2.853298891089129e-23
CALM1_SCTR,0.0004266974713291,0.0,1.12102917009086e-21,0,7.727254693800696e-24
INS_INSR,0.0004271931991123,0.0034814976437813,1.98219037783934e-05,0,1.2601827834329557e-18
C4B_CD46,0.0004311226860677,9.488068399070572e-05,7.54561579300658e-14,0,9.054388217191667e-13
PDAP1_PDGFRB,0.0004325483223888,0.0007365626254761,5.597287762507541e-15,0,2.3033189303553893e-19
CALR_ITGA3,0.0004388823579871,1.243590946418475e-09,6.2258860577719e-08,0,1.595976793243346e-17
FGF23_FGFR4,0.0004451386760017,0.0001682767264827,7.03769100836398e-25,0,2.392192594940749e-12
ALOX5AP_ALOX5,0.0004517673551379,0.0042078355406019,0.0007223392582689,0,6.956855462395669e-07
ADAM10_GPNMB,0.0004517673551379,0.105697198816863,2.9477497231983e-05,0,3.792087001514733e-10
TNFSF12_TNFRSF12A,0.000462488126436,1.3180321842235148e-10,4.2816405404395897e-13,0,1.9941066979176562e-20
COL18A1_ITGB5,0.0004634627345599,2.539562762980614e-13,2.66859111385844e-16,0,3.026874581330422e-20
CD14_ITGB2,0.0004715164768877,3.195422118880907e-06,0.0066023588016799,0,8.382545214817274e-15
VEGFA_SIRPA,0.0004768270008137,2.206303838121391e-06,7.917420170322821e-17,0,5.2150127871960735e-18
LRPAP1_LRP1,0.0004777146460959,0.0376537148679476,2.37784741360439e-05,0,1.2136988725885517e-12
ICAM1_ITGAX,0.0004800902121496,0.033515914870534,0.0020040133371922,0,1.7994737221685294e-10
GAS6_AXL,0.0004809679082179,0.0436859211835848,6.77177909345987e-12,0,3.842938396471752e-12
EFNB1_ERBB2,0.0004954680758953,0.0001907276570704,1.74008235450832e-06,0,2.1127890151189937e-12
COL4A2_ITGB5,0.000510946783283,2.717063881861997e-06,1.4213504520507299e-18,0,3.785999125433047e-17
IL16_CD4,0.000510946783283,0.008815956506134,1.7127411965461801e-09,0,0.0002731282793426
IL16_KCNJ15,0.0005502272768899,0.0001491089105144,5.71283970001944e-16,0,8.268927383508703e-23
TNFSF10_RIPK1,0.0005502272768899,0.1422589140821318,2.89848491607069e-05,0,1.4616706594673052e-12
COL5A2_ITGA1,0.0005502272768899,0.1315483046136014,8.1225490515837e-09,0,7.588064218289642e-12
HSPA8_LDLR,0.0005553644808917,4.667661056721936e-13,9.28352304464119e-10,0,1.4393795762185154e-22
TGFB3_ITGB6,0.0005553644808917,1.3459559962123791e-05,5.795704894813959e-13,0,6.902917773331571e-10
INHBA_SMAD3,0.0005553644808917,5.284999274436499e-05,0.0002821857127658,0,1.0031606603170492e-16
HLA-B_CANX,0.0005673294387736,0.0001596747853154,0.004574044899099,0,4.177658440434738e-11
WNT7B_LRP5,0.000572182444575,9.852529420527489e-07,7.94784221871595e-07,0,8.637293979377587e-13
TGFB3_ITGB5,0.0005845953168831,3.237615576019308e-06,2.9050932215507204e-19,0,1.4687668824916294e-20
TFF1_MUC5AC,0.0005845953168831,0.0002284206612058,1.55686072790401e-12,0,8.545096675019815e-22
S100A4_ERBB2,0.0005895749456454,2.8828745528963043e-05,4.39379257944843e-16,0,3.902336136435049e-12
APOE_LRP5,0.0006010658270551,1.58400680790316e-05,1.29238738582347e-13,0,4.8109482487394626e-14
APP_PLD1,0.0006265492506429,0.0086444469272193,1.74008235450832e-06,0,6.084903869545192e-12
